2026-05-28 11:35:19,934 | INFO | root | The program started working.
2026-05-28 11:35:19,934 | INFO | shape_manager | Loading shapes from shapes.json
2026-05-28 11:35:19,934 | INFO | square | Square created successfully 
2026-05-28 11:35:19,935 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>] was saved to a file.
2026-05-28 11:35:19,935 | INFO | square | Square created successfully 
2026-05-28 11:35:19,935 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>] was saved to a file.
2026-05-28 11:35:19,936 | INFO | rectangle | Rectangle created successfully 
2026-05-28 11:35:19,936 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>, <rectangle.Rectangle object at 0x00000204B5D96E40>] was saved to a file.
2026-05-28 11:35:19,936 | INFO | circle | Circle created successfully 
2026-05-28 11:35:19,937 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>, <rectangle.Rectangle object at 0x00000204B5D96E40>, <circle.Circle object at 0x00000204B5D96F90>] was saved to a file.
2026-05-28 11:35:19,937 | INFO | circle | Circle created successfully 
2026-05-28 11:35:19,937 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>, <rectangle.Rectangle object at 0x00000204B5D96E40>, <circle.Circle object at 0x00000204B5D96F90>, <circle.Circle object at 0x00000204B5D0BB10>] was saved to a file.
2026-05-28 11:35:19,937 | INFO | square | Square created successfully 
2026-05-28 11:35:19,938 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>, <rectangle.Rectangle object at 0x00000204B5D96E40>, <circle.Circle object at 0x00000204B5D96F90>, <circle.Circle object at 0x00000204B5D0BB10>, <square.Square object at 0x00000204B5D0BD90>] was saved to a file.
2026-05-28 11:35:19,938 | INFO | shape_manager | The list [<square.Square object at 0x00000204B5D96CF0>, <square.Square object at 0x00000204B5D0B890>, <rectangle.Rectangle object at 0x00000204B5D96E40>, <circle.Circle object at 0x00000204B5D96F90>, <circle.Circle object at 0x00000204B5D0BB10>, <square.Square object at 0x00000204B5D0BD90>] was loaded from the file
2026-05-28 11:35:19,938 | INFO | shape_manager | Shape Manager created successfully
2026-05-28 11:58:52,529 | INFO | root | The program started working.
2026-05-28 11:58:52,530 | INFO | shape_manager | The file shapes.json is opened to read information.
2026-05-28 11:58:52,530 | INFO | square | Square created successfully 
2026-05-28 11:58:52,530 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,530 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>] was saved to a file.
2026-05-28 11:58:52,531 | INFO | square | Square created successfully 
2026-05-28 11:58:52,531 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,531 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>] was saved to a file.
2026-05-28 11:58:52,531 | INFO | rectangle | Rectangle created successfully 
2026-05-28 11:58:52,532 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,532 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>] was saved to a file.
2026-05-28 11:58:52,532 | INFO | circle | Circle created successfully 
2026-05-28 11:58:52,532 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,533 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>] was saved to a file.
2026-05-28 11:58:52,533 | INFO | circle | Circle created successfully 
2026-05-28 11:58:52,533 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,533 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>, <circle.Circle object at 0x000002058304BB10>] was saved to a file.
2026-05-28 11:58:52,533 | INFO | square | Square created successfully 
2026-05-28 11:58:52,534 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,534 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>, <circle.Circle object at 0x000002058304BB10>, <square.Square object at 0x000002058304BD90>] was saved to a file.
2026-05-28 11:58:52,534 | INFO | square | Square created successfully 
2026-05-28 11:58:52,535 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,535 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>, <circle.Circle object at 0x000002058304BB10>, <square.Square object at 0x000002058304BD90>, <square.Square object at 0x00000205830EE520>] was saved to a file.
2026-05-28 11:58:52,536 | INFO | circle | Circle created successfully 
2026-05-28 11:58:52,536 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 11:58:52,536 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>, <circle.Circle object at 0x000002058304BB10>, <square.Square object at 0x000002058304BD90>, <square.Square object at 0x00000205830EE520>, <circle.Circle object at 0x000002058304B9D0>] was saved to a file.
2026-05-28 11:58:52,536 | INFO | shape_manager | The list [<square.Square object at 0x00000205830D6CF0>, <square.Square object at 0x000002058304B890>, <rectangle.Rectangle object at 0x00000205830D6E40>, <circle.Circle object at 0x00000205830D6F90>, <circle.Circle object at 0x000002058304BB10>, <square.Square object at 0x000002058304BD90>, <square.Square object at 0x00000205830EE520>, <circle.Circle object at 0x000002058304B9D0>] was loaded from the file
2026-05-28 11:58:52,536 | INFO | shape_manager | Shape Manager created successfully
2026-05-28 12:02:39,211 | INFO | root | The program started working.
2026-05-28 12:02:39,211 | INFO | shape_manager | The file shapes.json is opened to read information.
2026-05-28 12:02:39,211 | INFO | square | Square created successfully 
2026-05-28 12:02:39,211 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,211 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>] was saved to a file.
2026-05-28 12:02:39,212 | INFO | square | Square created successfully 
2026-05-28 12:02:39,212 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,212 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>, <square.Square object at 0x0000016D9E72B890>] was saved to a file.
2026-05-28 12:02:39,212 | INFO | rectangle | Rectangle created successfully 
2026-05-28 12:02:39,212 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,213 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>, <square.Square object at 0x0000016D9E72B890>, <rectangle.Rectangle object at 0x0000016D9E7B6E40>] was saved to a file.
2026-05-28 12:02:39,213 | INFO | circle | Circle created successfully 
2026-05-28 12:02:39,213 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,213 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>, <square.Square object at 0x0000016D9E72B890>, <rectangle.Rectangle object at 0x0000016D9E7B6E40>, <circle.Circle object at 0x0000016D9E7B6F90>] was saved to a file.
2026-05-28 12:02:39,213 | INFO | circle | Circle created successfully 
2026-05-28 12:02:39,214 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,214 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>, <square.Square object at 0x0000016D9E72B890>, <rectangle.Rectangle object at 0x0000016D9E7B6E40>, <circle.Circle object at 0x0000016D9E7B6F90>, <circle.Circle object at 0x0000016D9E72BB10>] was saved to a file.
2026-05-28 12:02:39,214 | INFO | square | Square created successfully 
2026-05-28 12:02:39,214 | INFO | shape_manager | The shapes.json file is opened for writing information.
2026-05-28 12:02:39,214 | INFO | shape_manager | The list [<square.Square object at 0x0000016D9E7B6CF0>, <square.Square object at 0x0000016D9E72B890>, <rectangle.Rectangle object at 0x0000016D9E7B6E40>, <circle.Circle object at 0x0000016D9E7B6F90>, <circle.Circle object at 0x0000016D9E72BB10>, <square.Square object at 0x0000016D9E72BD90>] was saved to a file.
2026-05-28 12:02:39,214 | INFO | square | Square created successfully 
2026-05-28 12:02:39,215 | INFO | shape_manager | The shapes.json file is opened for writing information.
